"TOA5","Clear Lake Outflow","CR800","47844","CR800.Std.32.05","CPU:Clear_Outflow_Rain_Gauge.CR8","727","Clear_Outflow_Min_15"
"TIMESTAMP","RECORD","BattV_Min","BattV_TMn","PTemp_C_Avg","Lvl_ft_Avg","Temp_C_Avg","Rain_in_Tot"
"TS","RN","Volts","","Deg C","feet","deg C","inch"
"","","Min","TMn","Avg","Avg","Avg","Tot"
2025-09-27T11:45:00Z,123068,12.38,2025-09-27T11:41:55Z,24.61,0.248,20.94,0
2025-09-27T12:00:00Z,123069,12.38,2025-09-27T11:45:05Z,25.25,0.249,21.29,0
2025-09-27T12:15:00Z,123070,12.43,2025-09-27T12:05:15Z,25.84,0.248,21.61,0
2025-09-27T12:30:00Z,123071,12.33,2025-09-27T12:19:15Z,26.35,0.246,21.95,0
2025-09-27T12:45:00Z,123072,12.38,2025-09-27T12:38:30Z,26.8,0.247,22.29,0
2025-09-27T13:00:00Z,123073,12.37,2025-09-27T12:56:10Z,27.2,0.248,22.66,0
2025-09-27T13:15:00Z,123074,12.37,2025-09-27T13:12:25Z,27.56,0.248,22.99,0
2025-09-27T13:30:00Z,123075,12.37,2025-09-27T13:17:15Z,27.86,0.247,23.3,0
2025-09-27T13:45:00Z,123076,12.4,2025-09-27T13:30:35Z,28.07,0.248,23.67,0
2025-09-27T14:00:00Z,123077,12.4,2025-09-27T13:51:45Z,28.18,0.248,23.99,0
2025-09-27T14:15:00Z,123078,12.23,2025-09-27T14:14:10Z,28.25,0.247,24.34,0
2025-09-27T14:30:00Z,123079,12.15,2025-09-27T14:28:00Z,28.21,0.246,24.58,0
2025-09-27T14:45:00Z,123080,12.11,2025-09-27T14:37:15Z,28.02,0.246,24.88,0
2025-09-27T15:00:00Z,123081,11.72,2025-09-27T14:59:35Z,27.71,0.246,25.08,0
2025-09-27T15:15:00Z,123082,11.46,2025-09-27T15:12:25Z,27.46,0.246,25.25,0
2025-09-27T15:30:00Z,123083,11.4,2025-09-27T15:20:30Z,27.29,0.246,25.32,0
2025-09-27T15:45:00Z,123084,10.73,2025-09-27T15:44:45Z,27.2,0.245,25.33,0
2025-09-27T16:00:00Z,123085,10.1,2025-09-27T15:54:05Z,27.18,0.243,25.23,0
